name	gene_ids	rule	module	group	notes
cobalt	k07644, k02483, ncrb, ncry, k23240, k24073, k24079, k06042, k03088, k24078, k03585, k18138, k18139, cnrt, k03284, corb, k06189, k12951, k15726, k15727, k15725, dmef, dmer, k07785, k08970, k23243, k16264, k01534	k07644 | k02483 | hmm@ncrb | hmm@ncry | k23240 | k24073 | k24079 | k06042 | k03088 | k24078 | k03585 | k18138 | k18139 | hmm@cnrt | k03284 | hmm@corb | k06189 | k12951 | k15726 | k15727 | k15725 | hmm@dmef | hmm@dmer | k07785 | k08970 | k23243 | k16264 | k01534	heavy metal tolerance	box 16	presence of cobalt resistance and transport genes indicates microbial capacity for co²⁺ detoxification, efflux, and regulation. includes transcriptional regulators (ncr, cnr, rcn), efflux systems (czc, dme, zitb, znta), transporters (cora/b/c, ctpd), and multi-component resistance operons (cme, cus, dmerf), enabling microbial adaptation to cobalt-rich or contaminated environments.
magnesium	k06042, k03284, corb, k06189, k01531, k06213	k06042 | k03284 | hmm@corb | k06189 | k01531 | k06213	heavy metal tolerance	box 16	presence of magnesium homeostasis and transport genes indicates microbial capacity for mg²⁺ uptake, export, and regulation. includes primary transporters (cora, mgta, corb/c), p-type atpases for active transport, and regulatory proteins involved in maintaining cytoplasmic mg²⁺ balance under metal or osmotic stress conditions.
manganese	k11924, k12950, k11707, k03322, k23242, k11604, k11607, k11605, k11606	k11924 | k12950 | k11707 | k03322 | k23242 | k11604 | k11607 | k11605 | k11606	heavy metal tolerance	box 16	presence of manganese transport and regulatory genes indicates microbial capacity for mn²⁺ uptake, efflux, and homeostasis. includes import systems (mnth, mnta, yfeabcd), p-type atpases (ctpc), efflux channels (mntp), and regulatory proteins (mntr) that maintain intracellular mn²⁺ balance, protect against oxidative stress, and support metalloenzyme function.
mercury	k00221, k00520, k19057, k08365, k19058, k19059, k08364, k08363	k00221 | k00520 | k19057 | k08365 | k19058 | k19059 | k08364 | k08363	heavy metal tolerance	box 16	presence of mercury resistance (mer) operon genes indicates microbial capacity for detoxification of inorganic and organic mercury compounds. includes transport and binding proteins (merc, mere, merf, merp, mert), regulatory components (merr, merd), and enzymes mediating reduction (mera) and cleavage of organomercurials (merb), collectively conferring hg²⁺ and methylmercury resistance.
nickel	ncrb, ncry, k07722, k11328, k23240, k24073, k24079, k03088, k11330, k24078, cnrt, k12951, k15726, k15727, k15725, cznb, dmef, dmer, hupe, k01552, k15584, k15585, k15586, k15587, k10824, k07241, k11326, k07785, k08970, k23243	hmm@ncrb | hmm@ncry | k07722 | k11328 | k23240 | k24073 | k24079 | k03088 | k11330 | k24078 | hmm@cnrt | k12951 | k15726 | k15727 | k15725 | hmm@cznb | hmm@dmef | hmm@dmer | hmm@hupe | k01552 | k15584 | k15585 | k15586 | k15587 | k10824 | k07241 | k11326 | k07785 | k08970 | k23243	heavy metal tolerance	box 16	presence of nickel transport, efflux, and regulatory genes indicates microbial capacity for ni²⁺ acquisition, homeostasis, and detoxification. includes uptake systems (nikabcde, nixa, hupe), efflux pumps (czc, dme, cnr, nrs, rcn), cation diffusion facilitators (cnrt), and transcriptional regulators (ncr, nrs, nikr, rcnr) that maintain intracellular ni²⁺ balance and support ni-dependent metalloenzyme function under metal stress.
silver	silf, k07665, k07644, k17686, k01533, k07787, k07798, k07796, k07810, sile, k23254	hmm@silf | k07665 | k07644 | k17686 | k01533 | k07787 | k07798 | k07796 | k07810 | hmm@sile | k23254	heavy metal tolerance	box 16	presence of silver resistance and efflux genes indicates microbial capacity for ag⁺ detoxification and homeostasis. includes multi-component efflux systems (sil, cus, cop), periplasmic chaperones (silf, sile, cusf), p-type atpases (silp, copa, copb), and two-component regulatory systems (cusrs) that coordinate ag⁺ sensing, transport, and reduction to mitigate toxicity in contaminated environments.
zinc	k21904, zeva, k07803, zint-yoda, k03765, k21903, k07644, k02483, k22043, k13638, k07713, k07709, k09823, k03709, k18324, cadd, k12950, k15726, k15727, k15725, cznb, k21133, k07799, k07788, k07789, k11707, k08970, k11710, k07238, k16264, k01534, k09815, k09816, k09817, k11708, k11709	k21904 | hmm@zeva | k07803 | hmm@zint-yoda | k03765 | k21903 | k07644 | k02483 | k22043 | k13638 | k07713 | k07709 | k09823 | k03709 | k18324 | hmm@cadd | k12950 | k15726 | k15727 | k15725 | hmm@cznb | k21133 | k07799 | k07788 | k07789 | k11707 | k08970 | k11710 | k07238 | k16264 | k01534 | k09815 | k09816 | k09817 | k11708 | k11709	heavy metal tolerance	box 16	presence of zinc resistance and homeostasis genes indicates microbial capacity for zn²⁺ uptake, sequestration, and efflux. includes import systems (znuabc, zipb, trob), regulators (zur, zrar/s, zntr, cadc/x), efflux transporters (czcabc, zitb, znta), metallothioneins and chaperones (smta, zint, zeva), and multidrug efflux systems (mdtabc) that together maintain intracellular zn²⁺ balance and mitigate metal stress.
copper	k07156, k03926, k06201, k21609, k07233, pcoe, k07213, k09796, k19342, cina, k14588, cuto, k22552, copl, copy-tcry, corr, k02483, k21600, k11923, k07665, k07644, k19591, k21601, k21902, k18992, k18324, k03585, k18138, k18139, k17686, k01533, k07245, copp, crda, k12954, k12956, k07787, k07798, k07796, k07810, k03820, k06079, hpcopa, mctb, k14166, k08221	k07156 | k03926 | k06201 | k21609 | k07233 | hmm@pcoe | k07213 | k09796 | k19342 | hmm@cina | k14588 | hmm@cuto | k22552 | hmm@copl | hmm@copy-tcry | hmm@corr | k02483 | k21600 | k11923 | k07665 | k07644 | k19591 | k21601 | k21902 | k18992 | k18324 | k03585 | k18138 | k18139 | k17686 | k01533 | k07245 | hmm@copp | hmm@crda | k12954 | k12956 | k07787 | k07798 | k07796 | k07810 | k03820 | k06079 | hmm@hpcopa | hmm@mctb | k14166 | k08221	heavy metal tolerance	box 16	presence of copper resistance, homeostasis, and transport genes indicates microbial potential for cu⁺/cu²⁺ detoxification, efflux, and redox regulation. this includes p-type atpases (copa, copb, ctpg, ctpv), multicopper oxidases (cueo, mco, cuto), periplasmic binding/chaperone systems (copc/d/z, pcoe, copl, cuer), regulatory systems (cusrs, cuer, corr, copy-tcry), and rnd/multidrug efflux complexes (cuscba, cmeabc, acrd, mctb), together facilitating copper detoxification and maintaining metal homeostasis under oxidative stress.
iron	k03594, dpr-dps, dpsa, k02217, k07229, k03709, pmra, pmrb, k02012, k02011, k02010, k13283, k16088, k03322, k01552, pmrc, k06147, k11604, k11607, k11605, k11606, k07224	k03594 | hmm@dpr-dps | hmm@dpsa | k02217 | k07229 | k03709 | hmm@pmra | hmm@pmrb | k02012 | k02011 | k02010 | k13283 | k16088 | k03322 | k01552 | hmm@pmrc | k06147 | k11604 | k11607 | k11605 | k11606 | k07224	heavy metal tolerance	box 16	presence of iron storage, uptake, and efflux genes indicates microbial capacity for fe²⁺/fe³⁺ homeostasis and oxidative stress mitigation. this includes ferritin-like storage proteins (bfra, pfr, dpr-dps), fe(ii)/fe(iii) transport and reduction systems (fbpabc, yfeabcd, fpta, yqjh, efeo), efflux pumps (fief), and regulatory elements (pmra/b/c, ider). collectively these confer resistance to iron overload, oxidative damage, and contribute to redox balancing.
biofilms	k19290, k19291, k19293, k19294, k19295, k19296, k11936, k11937, k21001, k20997, k25205, k21461	k19290 | k19291 | k19293 | k19294 | k19295 | k19296 | k11936 | k11937 | k21001 | k20997 | k25205 | k21461	stress adaptations	box 17	presence of alginate, psl, or pga/ica matrix biosynthesis genes indicates microbial capacity for biofilm formation, enhancing surface adhesion and persistence in marine environments. biofilm production supports microbial community stability, particle colonization, and resistance to physical disturbance in dynamic marine systems. 
oxidative stress	k03782, k04564, k04565, k01920, k01921, k05909, k00421, k05910, k00431, k00799	k03782 | k04564 | k04565 | k01920 | k01921 | k05909 | k00421 | k05910 | k00431 | k00799	stress adaptations	box 17	presence of oxidative stress defense genes (catalases, superoxide dismutases, glutathione biosynthesis enzymes, peroxidases, or laccases) indicates microbial potential to detoxify reactive oxygen species. this is relevant in marine microbes exposed to reactive oxygen species generated by chemical or biological oxidation systems and at oxic-anoxic interfaces.
flagella	k02406, k02390, k02409, k02394, k02386, k02393, k02556, k02557, k10564, k21217, k21218, k02410, k02416	k02406 & k02390 & k02409 & [k02394 | k02386] & k02393 & [k02556 | k02557 | k10564 | k21217 | k21218] & [k02410 | k02416]	stress adaptations	box 17	for a genome to have bacterial flagella motility, it should encode flagellin (flic, k02406), hook protein (flge, k02390), m-ring membrane anchor (flif, k02409), one p-ring proteins (flgi, k02394 and flga, k02386), l-ring precursor (flgh, k02393), and at least one motor stator protein (mota-k02556, motb-k02557, motc-k10564, motd-k10564 , motx-k21217, or moty-k21218), at least one switch protein (flig-k02410 or flim-k02416). 
reductive dehalogenation	k21566, k21647	k21566 | k21647	stress adaptations	box 18	presence of reductive dehalogenases: cpra-k21566 and/or pcea-k21647
