name	rule	module	group	notes	gene_ids
Aerobic Aromatic Degradation (General)	MAH_alpha | MAH_beta | DmpO | DszC | TmoA_BmoA | TmoB_BmoB | TmoE | TomA1 | TomA3 | TomA4 | NdoB | NdoC | non_NdoB_type	Carbon Degradation	Aerobic Hydrocarbons	Aerobic degradation of monoaromatic and heterocyclic compounds. General row includes all aerobic aromatic HMMs from CANT-HYD — MAH_alpha/beta (monoaromatic dioxygenase; BTEX-relevant), DmpO (phenol hydroxylase), DszC (dibenzothiophene desulfurization; organosulfur aromatics), TmoA/B/E and TomA1/3/4 (toluene/benzene monooxygenases; BTEX-specific), NdoB/NdoC/non_NdoB_type (naphthalene dioxygenases; PAH-specific). This general row is a superset of BTEX and PAH rows.	MAH_alpha, MAH_beta, DmpO, DszC, TmoA_BmoA, TmoB_BmoB, TmoE, TomA1, TomA3, TomA4, NdoB, NdoC, non_NdoB_type
Aerobic BTEX Degradation	at_least(2, PRESENCE, [TmoA_BmoA, TmoB_BmoB, TmoE]) | at_least(2, PRESENCE, [TomA1, TomA3, TomA4])	Carbon Degradation	Aerobic Hydrocarbons	Aerobic BTEX degradation via toluene/benzene monooxygenases. TmoABE (toluene 4-monooxygenase; at least 2 of 3 subunits), TomA1/3/4 (toluene 2-monooxygenase; at least 2 of 3 subunits). Requiring at least 2 subunits from the same complex increases confidence. HMMs from CANT-HYD.	TmoA_BmoA, TmoB_BmoB, TmoE, TomA1, TomA3, TomA4
Aerobic PAH Degradation	NdoB | NdoC | non_NdoB_type	Carbon Degradation	Aerobic Hydrocarbons	Aerobic PAH degradation via naphthalene dioxygenases. NdoB (naphthalene 1,2-dioxygenase alpha subunit), NdoC (beta subunit), non_NdoB_type (phylogenetically distinct alpha subunit with broader substrate range). HMMs from CANT-HYD.	NdoB, NdoC, non_NdoB_type
Anaerobic Alkane Degradation	AhyA | AssA	Carbon Degradation	Anaerobic Hydrocarbons	Anaerobic alkane oxidation via fumarate addition (AssA; alkylsuccinate synthase/masD; C3-C12 alkanes) or hydroxylation (AhyA; alkane C2 methylene hydroxylase). HMMs from CANT-HYD. Highly relevant in shale and oil reservoir systems where anaerobic conditions dominate.	AhyA, AssA
Anaerobic Aromatic Degradation (General)	CmdA | EbdA | BssA | AbcA_1 | AbcA_2 | NmsA | K27540	Carbon Degradation	Anaerobic Hydrocarbons	Anaerobic aromatic degradation via dehydrogenation or fumarate addition. General row includes all anaerobic aromatic HMMs — EbdA (ethylbenzene dehydrogenase; BTEX-relevant), CmdA (p-cymene dehydrogenase), BssA/AbcA_1/AbcA_2 (BTEX-specific), NmsA/K27540 (PAH-specific). Superset of anaerobic BTEX and PAH rows. HMMs from CANT-HYD.	CmdA, EbdA, BssA, AbcA_1, AbcA_2, NmsA, K27540
Anaerobic BTEX Degradation	BssA | AbcA_1 | AbcA_2	Carbon Degradation	Anaerobic Hydrocarbons	Anaerobic BTEX degradation via fumarate addition (BssA; benzylsuccinate synthase; toluene/xylene) or carboxylation (AbcA_1/AbcA_2; benzene carboxylase). BssA is the most widely used marker for anaerobic toluene degradation. HMMs from CANT-HYD.	BssA, AbcA_1, AbcA_2
Anaerobic PAH Degradation	NmsA | K27540	Carbon Degradation	Anaerobic Hydrocarbons	Anaerobic PAH degradation via fumarate addition (NmsA; naphthyl-2-methylsuccinate synthase; naphthalene) or carboxylation (K27540; naphthalene carboxylase). HMMs from CANT-HYD.	NmsA, K27540
Cellulose Degradation	[GH5 | GH8 | GH9 | GH10 | GH12 | GH44 | GH45 | GH124] & [GH6 | GH7 | GH48] & [GH1 | GH3 | GH94 | GH116]	Carbon Degradation	Polymers	Cellulose degradation requires endo-acting cellulase (GH5, GH8, GH9, GH10, GH12, GH44, GH45, GH124), exo-acting cellobiohydrolase (GH6, GH7, GH48), and beta-glucosidase (GH1, GH3, GH94, GH116). LPMOs (AA9, AA10, AA15, AA16) provide oxidative enhancement but are not required. CAZyme families from dbCAN.	GH5, GH6, GH7, GH8, GH9, GH10, GH12, GH44, GH45, GH48, GH124, GH1, GH3, GH94, GH116, AA9, AA10, AA15, AA16
Hemicellulose Degradation	[GH5 | GH9 | GH10 | GH11 | GH12 | GH16 | GH26 | GH44 | GH45 | GH74 | GH113 | GH134] & [GH2 | GH31 | GH38 | GH43 | GH51 | GH63 | GH92 | GH125 | GH130 | CE1 | CE2 | CE4 | CE17]	Carbon Degradation	Polymers	Hemicellulose degradation requires backbone hydrolase (GH5, GH9-GH12, GH16, GH26, GH44, GH45, GH74, GH113, GH134) and side-chain/accessory enzyme or esterase (GH2, GH31, GH38, GH43, GH51, GH63, GH92, GH125, GH130, CE1, CE2, CE4, CE17). CAZyme families from dbCAN.	GH5, GH9, GH10, GH11, GH12, GH16, GH26, GH44, GH45, GH74, GH113, GH134, GH2, GH31, GH38, GH43, GH51, GH63, GH92, GH125, GH130, CE1, CE2, CE4, CE17
Starch Degradation	GH13 | GH14 | GH15 | GH57 | GH97 | GH119 | GH126 | GH133	Carbon Degradation	Polymers	Starch degradation via amylolytic hydrolases (GH13, GH14, GH15, GH57, GH97, GH119, GH126, GH133); at least one amylase family required. AA13 LPMO provides optional oxidative enhancement. CAZyme families from dbCAN.	GH13, GH14, GH15, GH57, GH97, GH119, GH126, GH133, AA13
Galactomannan (Guar Gum) Degradation	[GH26 | GH5 | GH113 | GH134] & [GH2 | GH1 | GH27 | GH36]	Carbon Degradation	Polymers	Degradation of guar gum (galactomannan), a common hydraulic fracturing fluid additive. Requires beta-mannanase for backbone cleavage (GH26, GH5, GH113, GH134) and alpha-galactosidase (GH27, GH36) or beta-mannosidase (GH2, GH1) for side-chain removal. Guar gum degradation documented in produced water communities post-fracturing. CAZyme families from dbCAN.	GH26, GH5, GH113, GH134, GH2, GH1, GH27, GH36
Glucose Use	K02777 | K02779 | K02791 | K20118 | K18124 | K18125 | K00115 | K00117 | K19813 | K18851 | K00844 | K12407 | K00845 | K25026	Carbon Degradation	Simple Sugars	Glucose utilization via PTS (K02777, K02779, K02791), glucose transporters, and glycolytic entry enzymes (glucokinase K00844, K00845). A positive call is expected in nearly all heterotrophs.	K02777, K02779, K02791, K20118, K18124, K18125, K00115, K00117, K19813, K18851, K00844, K12407, K00845, K25026
Sucrose Use	K01182 | K01203 | K12047 | K01187 | K12316 | K12317 | K06617 | K01193 | K00695 | K02810 | K00690 | K05341 | K00689 | K00692	Carbon Degradation	Simple Sugars	Sucrose utilization via invertase (K01182, K01203), sucrose phosphorylase (K00690), sucrose-6-phosphate hydrolase (K01193), or PTS-mediated uptake.	K01182, K01203, K12047, K01187, K12316, K12317, K06617, K01193, K00695, K02810, K00690, K05341, K00689, K00692
Mannose Use	[K01809 | K02793 | K02794 | K02795] | K02796	Carbon Degradation	Simple Sugars	Mannose utilization via mannose-6-phosphate isomerase (K01809) or PTS mannose transporter (K02793, K02794, K02795, K02796).	K01809, K02793, K02794, K02795, K02796
Galactose Use	[K00849 | K00965 | K01784] | K01785	Carbon Degradation	Simple Sugars	Galactose utilization via galactokinase (K00849), UDP-glucose-hexose-1-phosphate uridylyltransferase (K00965), UDP-galactose-4-epimerase (K01784), or galactose mutarotase (K01785).	K00849, K00965, K01784, K01785
Fucose Use	[K00879 | K01628] | K01818	Carbon Degradation	Simple Sugars	Fucose utilization via L-fucose isomerase (K01818), fuculokinase (K00879), or fuculose-1-phosphate aldolase (K01628).	K00879, K01628, K01818
Xylose Use	[K00854 | K01805 | K00008 | K00011 | K05351 | K17743 | K00078 | K14273 | K14274] | K14275	Carbon Degradation	Simple Sugars	Xylose utilization via xylose isomerase (K01805), xylulokinase (K00854), or Weimberg/Dahms pathway enzymes. Major hemicellulose-derived sugar.	K00854, K01805, K00008, K00011, K05351, K17743, K00078, K14273, K14274, K14275
Fructose Use	K00008 | K00045 | K27924 | K00007 | K00844 | K00847 | K01805 | K00846 | K27475 | K02768 | K02769 | K02770 | K02771 | K11194 | K11195 | K11196	Carbon Degradation	Simple Sugars	Fructose utilization via fructokinase (K00847), PTS fructose transporters (K02768-K02771), or fructose-1,6-bisphosphatase.	K00008, K00045, K27924, K00007, K00844, K00847, K01805, K00846, K27475, K02768, K02769, K02770, K02771, K11194, K11195, K11196
Arabinose Use	K01804 | K00011 | K26066 | K13873 | K19660 | K12446	Carbon Degradation	Simple Sugars	Arabinose utilization via L-arabinose isomerase (K01804), ribulokinase (K00011), or related enzymes. Common component of hemicellulose and pectin.	K01804, K00011, K26066, K13873, K19660, K12446
Ribose Use	K00852	Carbon Degradation	Simple Sugars	Ribose utilization via ribokinase (K00852).	K00852
Rhamnose Use	K01813 | K01820 | K18337	Carbon Degradation	Simple Sugars	Rhamnose utilization via L-rhamnose isomerase (K01813), rhamnulokinase (K01820), or rhamnulose-1-phosphate aldolase (K18337).	K01813, K01820, K18337
Maltose Use	K05343 | K00691 | K06896 | K16146 | K00705 | K22451 | K12047 | K01187 | K12316 | K12317	Carbon Degradation	Simple Sugars	Maltose utilization via maltase (K05343), maltose phosphorylase (K00691), or alpha-glucosidase (K01187, K12047).	K05343, K00691, K06896, K16146, K00705, K22451, K12047, K01187, K12316, K12317
Trehalose Use	K12437 | K02777 | K02819 | K01194 | K22934 | K05342 | K05343	Carbon Degradation	Simple Sugars	Trehalose utilization via trehalase (K01194), trehalose phosphorylase (K02819), or PTS trehalose transporter. Note trehalose biosynthesis genes (K05342, K05343) overlap with osmoregulation sugar synthesis row — interpret in context.	K12437, K02777, K02819, K01194, K22934, K05342, K05343
Lactose Use	[K01190 | K12111 | K12112] | K12309	Carbon Degradation	Simple Sugars	Lactose utilization via beta-galactosidase (K01190) or PTS lactose transporter (K12111, K12112, K12309). Relevant in wastewater systems receiving dairy effluents.	K01190, K12111, K12112, K12309
Glycerol Use	K01189 | K07406 | K07407 | K00005 | K22251 | K18097 | K00864 | K06120 | K06121 | K06122 | K00011 | K00002 | K13979	Carbon Degradation	Other Carbon	Glycerol utilization via glycerol kinase (K00864), glycerol-3-phosphate dehydrogenase (K00005, K06120, K06121, K06122), glycerol dehydrogenase (K00002), or glycerol uptake facilitator (K13979). Glycerol is released during lipid hydrolysis and is a fermentation substrate in digesters and bioreactors.	K01189, K07406, K07407, K00005, K22251, K18097, K00864, K06120, K06121, K06122, K00011, K00002, K13979
Ethylene Glycol Degradation	[K00001 | K00121] & [K14085 | K00128 | K00149]	Carbon Degradation	Other Carbon	Ethylene glycol degradation via glycolate oxidase (K11472) or diol dehydratase (K18394) for initial oxidation, followed by alcohol dehydrogenase (K00001, K00121) and aldehyde dehydrogenase (K14085, K00128, K00149). Ethylene glycol is used as antifreeze in pipelines and gas processing facilities. Note: K11472 and K18394 removed per curation.	K00001, K00121, K14085, K00128, K00149
Methanol Use	K14028 | K16254 | K00121	Carbon Degradation	Other Carbon	Methanol oxidation via methanol dehydrogenase: calcium-dependent MDH (mxaF; K14028) in Alphaproteobacterial methylotrophs, lanthanide-dependent MDH (xoxF; K16254) increasingly recognized as broadly distributed, or NAD-dependent MDH (mdh; K00121) with broader phylogenetic distribution. K00121 is less specific — co-occurrence with K14028 or K16254 strengthens the call. Methanol is injected as hydrate inhibitor in oil and gas pipelines and used as denitrification carbon source in wastewater treatment.	K14028, K16254, K00121
EPS Production	K16566 | K16557 | K16556 | K16555 | K19290 | K19291 | K19293 | K19294 | K19295 | K19296 | K11936 | K11937 | K20997 | K21001 | K21154 | K25902 | K25904 | K25906 | K25205 | K21461	Biofilms & Attachment	EPS	Exopolysaccharide biosynthesis and biofilm matrix structural genes including alginate biosynthesis (alg genes; K16566, K16557, K16556, K16555), Psl polysaccharide biosynthesis (K19290-K19296), PGA/ICA poly-GlcNAc synthesis (pgaABCD/icaABCD; K11936, K11937), and additional EPS biosynthesis genes. Any single gene indicates EPS production capacity. Drives pipeline fouling and MIC in engineered systems.	K16566, K16557, K16556, K16555, K19290, K19291, K19293, K19294, K19295, K19296, K11936, K11937, K20997, K21001, K21154, K25902, K25904, K25906, K25205, K21461
Quorum Sensing	[[K13060 | K13061] & [K18304 | K18099]] | K07173 | at_least(2, PRESENCE, [K10555, K10556, K10557, K10558])	Biofilms & Attachment	Quorum Sensing	Quorum sensing via three systems: (1) AHL/LuxI-LuxR: LuxI-type AHL synthases lasI (K13060) or rhlI/cepI/tofI homologs (K13061) paired with LuxR-type receptors lasR (K18304) or rhlR homologs (K18099) — both synthase and receptor required; (2) AI-2/LuxS system: LuxS S-ribosylhomocysteine lyase (K07173) — widely conserved but interpret alone cautiously as it has metabolic roles beyond QS; (3) AI-2 import via Lsr ABC transporter: LsrB substrate-binding (K10555), LsrC permease (K10556), LsrD permease (K10557), LsrA ATPase (K10558) — at least 2 subunits required — indicates active AI-2 uptake and response capacity.	K13060, K13061, K18304, K18099, K07173, K10555, K10556, K10557, K10558
Motility	[K02410 | K02411] & at_least(3, PRESENCE, [K02406, K02407, K02400, K02408, K02409, K02412, K02416, K02417, K02386, K02387, K02391, K02393, K02404, K02405])	Biofilms & Attachment	Motility	Flagellar motor (MotA K02410 or MotB K02411; at least one required) plus at least 3 structural/assembly genes from the flagellar complex. Required for surface approach and early biofilm attachment. Also relevant for chemotaxis toward carbon/electron donor sources in engineered systems.	K02410, K02411, K02406, K02407, K02400, K02408, K02409, K02412, K02416, K02417, K02386, K02387, K02391, K02393, K02404, K02405
Salt-In Strategy (K+ Accumulation)	[K01546 | K01547 | K01548] | [K05565 & at_least(3, PRESENCE, [K05566, K05567, K05568, K05569, K05570, K05571])] | [K03315 | K07084] | at_least(2, PRESENCE, [K05559, K05560, K05561, K05562, K05563, K05564]) | [K03499 & K03498]	Environmental Stress Response	Osmoregulation	Halophilic salt-in osmoadaptation via K+ accumulation and Na+ exclusion. KdpABC P-type ATPase (K01546-K01548) imports K+; KdpDE (K07646, K07667) sensor-regulator. Mrp/Mnh Na+:H+ antiporter (K05565-K05571; Mrp subunit K05565 required plus at least 3 others). PhaABCDEFG K+ transporter (K05559-K05564; at least 2 of 6). TrkA/TrkH constitutive K+ uptake (K03499 & K03498; both required). NhaC Na+:H+ antiporter (K03315 or K07084). Highly relevant in hypersaline produced waters (TDS >200 g/L).	K07646, K07667, K01545, K01546, K01547, K01548, K03315, K07084, K05565, K05566, K05567, K05568, K05569, K05570, K05571, K05559, K05560, K05561, K05562, K05563, K05564, K03499, K03498
Compatible Solutes: Methylated (Synthesis)	[[K00108 | K11440] & K00130] | [K18896 & K18897]	Environmental Stress Response	Osmoregulation	Glycine betaine biosynthesis via two routes: (1) choline oxidation pathway — choline dehydrogenase (betA; K00108 or K11440) AND betaine-aldehyde dehydrogenase (betB; K00130); or (2) sequential N-methylation of glycine — glycine/sarcosine methyltransferase (K18896) AND sarcosine/dimethylglycine methyltransferase (K18897).	K00108, K11440, K00130, K18896, K18897
Compatible Solutes: Ectoine (Synthesis)	K06718 & K00836 & K06720	Environmental Stress Response	Osmoregulation	Ectoine biosynthesis via complete ectABC pathway: diaminobutyrate acetyltransferase (ectA; K06718), diaminobutyrate aminotransferase (ectB; K00836), ectoine synthase (ectC; K06720) — all three required. Ectoine hydroxylase (ectD; K10674) additionally produces hydroxyectoine with enhanced thermostability. Major compatible solute in halophilic bacteria.	K06718, K00836, K06720, K10674
Compatible Solutes: Sugars (Synthesis)	[K00697 & K01087] | K06044 | K01236 | K05342 | K05343 | K05947 | K00009	Environmental Stress Response	Osmoregulation	Biosynthesis of sugar-derived compatible solutes. Trehalose: OtsAB (K00697 & K01087; both required), TreYZ (K06044 or K01236), TreS (K05343), TreP (K05342). Mannosylglycerate: mpgSP (K05947). Mannitol: mtlD (K00009). Note K05342 and K05343 overlap with Trehalose Use row in Carbon Degradation.	K05947, K00009, K06044, K01236, K05342, K05343, K00697, K01087
Compatible Solutes: Methylated (Transport)	K02168 | K03451 | K05245 | K03762 | K05020 | [K02000 & K02001 & K02002] | at_least(2, PRESENCE, [K05845, K05846, K05847]) | at_least(2, PRESENCE, [K10036, K10037, K10038])	Environmental Stress Response	Osmoregulation	Transport of glycine betaine, choline, proline, and related methylated osmoprotectants. BetP/T/S BCCT transporter (K02168), carnitine/betaine antiporter (K05245), OpuD betaine transporter (K05020). ProVWX ABC transporter (K02000 & K02001 & K02002; all three required). OpuABC (K05845, K05846, K05847; at least 2 subunits). Glutamine ABC (K10036, K10037, K10038; at least 2 subunits). ProP MFS transporter (K03762); ProQ effector (K03607).	K02168, K03451, K05245, K03762, K03607, K02000, K02001, K02002, K05020, K10036, K10037, K10038, K05845, K05846, K05847
Compatible Solutes: Ectoine (Transport)	at_least(2, PRESENCE, [K02028, K02029, K02030])	Environmental Stress Response	Osmoregulation	Ectoine/hydroxyectoine uptake via EhuABC ABC transporter (EhuA ATPase K02028, EhuC/D permease K02029, EhuB substrate-binding protein K02030). At least 2 of 3 subunits required for metagenomic data. Organisms with transport but not synthesis genes are ectoine scavengers.	K02028, K02029, K02030
Compatible Solutes: Sugars (Transport)	at_least(2, PRESENCE, [K10227, K10228, K10229, K10230]) | at_least(2, PRESENCE, [K02783, K02781, K02782]) | K02798 | at_least(2, PRESENCE, [K10109, K10110, K10111]) | K17314	Environmental Stress Response	Osmoregulation	Sugar osmoprotectant transport. SmoEF ABC system (K10227-K10230; at least 2 subunits), SrlABE PTS (K02783, K02781, K02782; at least 2 subunits), mannitol PTS (mtlA; K02798). Trehalose: dedicated transporter (K17314) or maltose/trehalose ABC (K10109-K10111; at least 2 subunits). Organisms with transport but not synthesis genes scavenge solutes from environment.	K10227, K10228, K10229, K10230, K02783, K02781, K02782, K02798, K10109, K10110, K10111, K17314
Heat Shock Response	K04043 | K03686 | K04079 | K03705 | K13640 | K03053 | K03048 | K01419 | K04080 | K04081 | K03695 | K03687	Environmental Stress Response	Temperature Stress	Heat shock chaperones and proteases. DnaK (K04043) and DnaJ (K04079) form core chaperone system; GroEL/GroES (K04080, K04081) provide folding assistance; GrpE (K03686) is nucleotide exchange factor; ClpB (K03695) disaggregates protein aggregates; ClpXP (K03687) and HslUV are ATP-dependent proteases for misfolded proteins. Essential for survival in high-temperature wells and geothermal systems.	K04043, K03686, K04079, K03705, K13640, K03053, K03048, K01419, K04080, K04081, K03695, K03687
Cold Shock Response	K10257 | K03704 | K02834 | K05592	Environmental Stress Response	Temperature Stress	Cold shock response via cold shock proteins (CspA family; K10257) acting as RNA chaperones, RecA (K03704) for SOS response, trigger factor (K02834) as ribosome-associated chaperone, and CsdA/DeaD (K05592) cold-inducible DEAD-box RNA helicase. Relevant in surface-to-subsurface transitions and temperature-fluctuating systems.	K10257, K03704, K02834, K05592
Beta-Lactam Resistance	K18698 | K18699 | K18796 | K18767 | K18797 | K19097 | K19317 | K18768 | K18970 | K19316 | K22346 | K18795 | K19218 | K19217 | K18790 | K18791 | K19098 | K18792 | K19213 | K21276 | K18793 | K18971 | K22352 | K19209	Environmental Stress Response	Antibiotic Resistance	Beta-lactamase and penicillin-binding protein resistance genes conferring resistance to beta-lactam antibiotics (penicillins, cephalosporins, carbapenems). Major antibiotic resistance gene class in environmental microbiomes.	K18698, K18699, K18796, K18767, K18795, K19218, K19217
Macrolide Resistance	K00561 | K14336 | K15632 | K18230 | K18231 | K19349 | K19350 | K18232 | K19541 | K08217	Environmental Stress Response	Antibiotic Resistance	Macrolide resistance via efflux pumps, ribosomal methylases (erm genes), or macrolide esterases.	K00561, K14336, K15632, K18230, K18231, K19349, K19350, K18232, K19541, K08217
Tetracycline Resistance	K08151 | K08168 | K18214 | K18215 | K18218 | K18216 | K18217 | K19542 | K18233 | K18220 | K18221	Environmental Stress Response	Antibiotic Resistance	Tetracycline resistance via efflux pumps (tet efflux genes) or ribosomal protection proteins.	K08151, K08168, K18214, K18215, K18218, K18216, K18217, K19542, K18233, K18220, K18221
Sulfonamide Resistance	K18974 | K18824 | K18825	Environmental Stress Response	Antibiotic Resistance	Sulfonamide resistance via dihydropteroate synthase variants (sul1, sul2, sul3) insensitive to sulfonamide inhibition. Among the most commonly detected antibiotic resistance genes in wastewater and water treatment systems.	K18974, K18824, K18825
Biocide Efflux (General)	K03585 | K18138 | [K18324 | 2.A.6.2.7_P24177] | [K18142 | 2.A.6.2.2_P31224] | [K03297 | 2.A.7.1] | [[K11814 | 2.A.7.1.6] & [K11815 | 2.A.7.1.6]] | [K18975 | 2.A.7.1.11]	Environmental Stress Response	Biocide Resistance	Broad-spectrum efflux genes for biocide and multidrug resistance. MexA/membrane fusion protein (K03585), MATE efflux (K03400), MexB/RND pump (K18138), AcrD/RND pump (K18324), AcrF/RND pump (K18142), and SMR family pumps: Mmr (K03297), EbrA/EbrB paired SMR pump (K11814 & K11815), Ebr SMR pump (K18975). Aldehyde dehydrogenase (K14085) provides chemical detoxification capacity. RND pumps (2.A.6 TCDB family) provide broad substrate efflux relevant in oil and gas and wastewater systems. General row is superset of Aldehyde Resistance sub-row.	K03585, K18138, K18324 | 2.A.6.2.7_P24177, K18142 | 2.A.6.2.2_P31224, K03297 | 2.A.7.1, K11814 | 2.A.7.1.6, K11815 | 2.A.7.1.6, K18975 | 2.A.7.1.11
Aldehyde Resistance	K00149 | K14085	Environmental Stress Response	Biocide Resistance	Resistance to aldehyde biocides (e.g., glutaraldehyde, formaldehyde) mediated by aldehyde oxidoreductases and aldehyde:ferredoxin oxidoreductases (K00149, K14085), which detoxify reactive aldehyde compounds.	K00149, K14085
QAC Resistance	K08167, K11741	Environmental Stress Response	Biocide Resistance	Resistance to quaternary ammonium compound (QAC) disinfectants mediated by multidrug efflux transporters (K08167, K11741) that export toxic biocides from the cell.	K08167 | K11741
Oxidative Stress Resistance	K04564|K04565|K04569|K03781|K03782|K24119|K03387|K04761|K13639|K13631|K00383|K01919|K03671|K00384|K03672|K10563|K03575|K03553|K04047|K03594|K02217|K03674|K03675|K03676|K07304|K07305|K04063|K11065|K03564|K00036|K00033|K00324|K00325|K19824|K04487|K05997|K09014|K09013|K09015|K11717|K02426|K03087|K03711|K13643|K01338|K04043|K05919|K01759|K00799|K01069|K10773|K10567|K03574|K01151|K03584|K01142|K09825|K23775|K04084|K01920	Environmental Stress Response	Biocide Resistance	Presence of oxidative stress response genes indicates microbial potential to detoxify reactive oxygen species through catalase–peroxidase, superoxide dismutase, glutathione biosynthesis,  NADH peroxidase, or related genes/proteins, supporting survival under oxidative stress.	K04564  , K04565 , K04569 , K03781 , K03782 , K24119 , K03387 , K04761 , K13639   , K13631  , K00383 , K01919  , K03671 , K00384 , K03672  , K10563 , K03575 , K03553 , K04047 , K03594 , K02217 , K03674  , K03675 , K03676 , K07304   , K07305 , K04063  , K11065  , K03564    , K00036 , K00033 , K00324 , K00325 , K19824   , K04487 , K05997  , K09014   , K09013 , K09015  , K11717       , K02426  , K03087 , K03711   , K13643 , K01338 , K04043 , K05919  , K01759  , K00799  , K01069   , K10773  , K10567   , K03574 , K01151  , K03584 , K01142 , K09825  , K23775  , K04084  , K01920
