name	alias	gene_ids	rule	module	group	notes
Aerobic nitrite oxidation	Aerobicnitriteoxidation	K00370	HMM@NXR	Nutrient Cycling	Nitrification	Presence of nitrite oxidoreductase, indicating ability to oxidize nitrite
Anaerobic Ammonia Oxidation ANAMMOX	AnaerobicAmmoniaOxidationANAMMOX	K00368, K15864, K20932, K20933, K20934, K20935	[K00368|K15864]&[K20932&K20933&K20934]&K20935	Nutrient Cycling	Nitrification	The genome is an anammox if it encodes the genes required to oxidize ammonium to dinitrogen gas
Complete Ammonia Oxidation COMAMMOX	CompleteAmmoniaOxidationCOMAMMOX	K00370,K00371,EC:1.7.2.8,K20935 	[K00370|K00371]&[EC:1.7.2.8|K20935]&[amoa_beta|amoa_crenarchaea|amoa_gamma|amoa_Nitrospira_beta]	Nutrient Cycling	Nitrification	
Dissimilatory nitrate reduction to ammonium DNRA	DissimilatorynitratereductiontoammoniumDNRA	K00370, K00371, K00374, K02567, K02568, K00362, K00363, K03385, K15876	[[K00370&K00371]|[K02567&K02568]]&[[K00362&K00363]|[K03385&K15876]]	Nutrient Cycling	Denitrification	DNRA reduces nitrate to ammonium through a two-step process: nitrate reduction via Nar or Nap systems, followed by nitrite reduction via Nrf or Nir enzymes. Presence of one nitrate reductase system and one nitrite reductase system indicates DNRA capability.
Nitrate reduction to Nitrite	NitratereductiontoNitrite	K00370, K00371, K00374, K02567, K02568	HMM@NarG|[K02567&K02568]	Nutrient Cycling	Denitrification	Nitrate reduction to nitrite can occur through either the membrane-bound Nar system (K00370, K00371) or the periplasmic Nap system (K02567, K02568). Either system completes the nitrate transformation step.
Nitrite reduction to Nitric Oxide	NitritereductiontoNitricOxide	K00368, K15864	K00368|K15864	Nutrient Cycling	Denitrification	Nitrite reduction to nitric oxide (NO) is carried out by either NirS (K00368) or NirK (K15864). Presence of either gene indicates capacity for nitrate/nitrite reduction in denitrification.
Nitric Oxide reduction to Nitrous Oxide	NitricOxidereductiontoNitrousOxide	K02305, K04561	K04561|K15877	Nutrient Cycling	Denitrification	The conversion of nitric oxide (NO) to nitrous oxide (N₂O) is catalyzed by nitric oxide reductase, encoded by norB (K04561) in bacteria or CYP55 (K15877) in fungi. Presence of either gene indicates the capacity to perform this denitrification step
Nitrous Oxide reduction to Dinitrogen gas	NitrousOxidereductiontoDinitrogengas	K00376	K00376	Nutrient Cycling	Denitrification	The reduction of nitrous oxide (N₂O) to dinitrogen gas (N₂) is catalyzed by nitrous oxide reductase (nosZ, K00376). Presence of this gene indicates the potential for the final step of denitrification, converting greenhouse gas N₂O into inert atmospheric N₂.
Sulfur Oxidation	SulfurOxidation	K11180 ,K11181,K21307 , K21308 , K21309,K05301,K00386, K17218,K17230 ,K17229,K17223 , K17222,K17226 ,K17227,K17224,K17225 , K22622,K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944	[[K11180|S@dsrA|S@dsrB|K11181]|[K21307|K21308|K21309]|[K05301|K00386]|K17218|[K17230|K17229]|[K17223|K17222]|[S@SoxY|K17226|S@SoxZ|K17227]|K17224|[K17225|K22622]]	Nutrient Cycling	Sulfur	Potential to oxidize reduced sulfur compounds for energy generation and sulfur detoxification under oxic or redox-transition conditions
Sulfate Reduction	SulfateReduction	K00394, K00395, HMMdsrA, HMMdsrB	[K00394&K00395]&[HMM@dsrA&HMM@dsrB]	Nutrient Cycling	Sulfur	A genome that encodes adenylysulfate reductase and dissimilatory sulfite reductase
Sulfur Reduction	SulfurReduction	K13040 ,K13041,K08359,K08358,K08357	[[K13040|K13041]&at_least(1, PRESENCE, [K08359,K08358,K08357])]|at_least(2, PRESENCE, [K08359,K08358,K08357])	Nutrient Cycling	Sulfur	Potential to reduce other sulfur compounds
Iron Oxidation	IronOxidation	Need final input from Kayla - HMM dependent?	[Cyc2|PioA|mtoAB|foxEYZ]&[Microaerophillic|Aerobe|sulfatereducer|Denitrifier|Phototroph]	Nutrient Cycling	Iron	Potential to oxidize ferrous iron to ferric iron
Iron Reduction	IronReduction	mtrCAB, Fe@omcF ,Fe@omcS , Fe@omcZ , Fe@FmnA , ExtABCD,Fe@MtrA , Fe@MtrB_TIGR03509 , Fe@MtrC_TIGR03507	[[Fe@MtrA&Fe@MtrB_TIGR03509&Fe@MtrC_TIGR03507]|Fe@omcF|Fe@omcS|Fe@omcZ|Fe@FmnA|ExtABCD]&ETC50	Nutrient Cycling	Iron	Potential to reduce ferric iron to ferrous iron
Oxygen - Low Affinity Use	Oxygen-LowAffinityUse	K02275 , K02274 , K02276 , K15408 , K02277 ,K02827 , K02826 , K02828 , K02829 , K02297 , K02298 , K02299 ,K02300 , K00330 ,K00331 , K00332 , K00333 , K00331 , K13378 , K13380,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341 , K00342, K15863,K00343, K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585,K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353	[CytochromeCOxidase|CytochromeAa3600MenaquinolOxidase|CytochromeOUbiquinolOxidase]&ETC50	Redox Ladder	Oxygen	Low affinity oxygen use indicates an aerobe and requires the presence of a low-affinity oxidase plus a majority of the elctron transport chain
Oxygen - High Affinity Use	Oxygen-HighAffinityUse	K00425,K00426,K00424 , K22501,K00404 , K00405 , K15862,K00407,K00406, K00374 , K02567 , K02568 ,  EC:1.9.6.1,K00330,K00331 , K00332 ,K00333 , K00331,K13378 ,K13380,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341 , K00342,K15863,K00343,K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585,K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353	[percent50CytochromeBDUbiquinolOxidase|percent50CytochromeCOxidaseCBB3]&ETC50	Redox Ladder	Oxygen	High affinity oxygen use indicates a microaerophile and requires the presence of a high-affinity oxidase plus a majority of the elctron transport chain
Complete Denitrification	CompleteDenitrification	K00370, K00371, K00374, K02567, K00368,K15864,K04561,K15877,K00376	[[HMM@NarG|[K02567&K02568]] | [K00370&K00371&K00374]]&[K00368|K15864]&[K04561|K15877]&K00376	Redox Ladder	Denitrification	For a genome to have potential for complete denitrification, it must encode the entire suite of genes needed to catalyze reduction of nitrate into dinitrogen gas
Partial Denitrification	PartialDenitrification	K00370, K00371, K00374, K02567, K00368,K15864,K04561,K15877,K00376	[[HMM@NarG|[K02567&K02568]] | [K00370&K00371&K00374]]|[K00368|K15864]|[K04561|K15877]|K00376	Redox Ladder	Denitrification	For a genome to have potential for partial denitrification, it must encode a subset of the suite of genes needed to catalyze reduction of nitrate into dinitrogen gas, but not the entire pathway
Iron Reduction	IronReduction	mtrCAB, Fe@omcF ,Fe@omcS , Fe@omcZ , Fe@FmnA , ExtABCD,Fe@MtrA , Fe@MtrB_TIGR03509 , Fe@MtrC_TIGR03507	[[Fe@MtrA&Fe@MtrB_TIGR03509&Fe@MtrC_TIGR03507]|Fe@omcF|Fe@omcS|Fe@omcZ|Fe@FmnA|ExtABCD]&ETC50	Redox Ladder	Iron Reduction	
Sulfate Reduction	SulfateReduction	K00394, K00395, HMMdsrA, HMMdsrB	K00394&K00395&HMM@dsrA&HMM@dsrB	Redox Ladder	Sulfate Reduction	A genome that encodes adenylysulfate reductase and dissimilatory sulfite reductase
Methanogen or ANME	MethanogenorANME	K00399	[HMM@McrA | K00399] & [tax(g__Methanocomedens_A)|tax(g__Methanocomedens_B)|tax(g__Methanogaster_A)|tax(g__Methanogaster_B)|tax(g__Methanoperedens_A)|tax(g__Methanoperedens)|tax(g__ANME-1-THS)|tax(g__ANME1a)|tax(g__G60ANME1)|tax(g__Methanophaga)|tax(g__Methanovorans)|tax(g__Methanomarinus)|tax(g__Methanoxibalbensis)|tax(g__Methanospirare)|tax(g__Kmv04)|tax(g__Methanogaster_C)|tax(g__Methanogaster_D)|tax(g__CAZCRM01)|tax(g__UBA10536)|tax(g__Methanoxibalbensis)|tax(g__Methanocaldococcus)|tax(g__Methanococcus)|tax(g__Methanofervidicoccus)|tax(g__Methanothermococcus)|tax(g__Methanotorris)|tax(g__DASPRZ01)|tax(g__Methanoflorens)|tax(g__Methanocella_A)|tax(g__Methanocella)|tax(g__Methanooceanicella)|tax(g__Methanoliparum)|tax(g__Methanolliviera)|tax(g__JACTUA01)|tax(g__JAJRCL01)|tax(g__JAJRCM01)|tax(g__JAJRCY01)|tax(g__JARYLJ01)|tax(g__JASEFH01)|tax(g__Methanocalculus)|tax(g__Methanocorpusculum)|tax(g__JAHKLN01)|tax(g__JBNGCZ01)|tax(g__Methanoculleus_A)|tax(g__Methanoculleus)|tax(g__UBA206)|tax(g__UBA207)|tax(g__Methanofollis)|tax(g__CAZBGM01)|tax(g__DAOVRB01)|tax(g__DSDF01)|tax(g__JAVVFN01)|tax(g__LKUD01)|tax(g__Methanochimaera)|tax(g__Methanogenium)|tax(g__Methanolacinia)|tax(g__Methanomicrobium)|tax(g__Methanoplanus)|tax(g__Methanovulcanius )|tax(g__CAIKOD01)|tax(g__CAIYHQ01)|tax(g__JAFGOM01)|tax(g__JAJRBP01)|tax(g__JAPKXQ01)|tax(g__JBDKRP01)|tax(g__KLAP105)|tax(g__Methanofilum)|tax(g__Methanolinea_A)|tax(g__Methanolinea_B)|tax(g__Methanoregula)|tax(g__Methanosphaerula)|tax(g__Methanospirillum)|tax(g__MFD10007-c6)|tax(g__MVRE01)|tax(g__SD8)|tax(g__UBA288)|tax(g__UBA467)|tax(g__UBA9949)|tax(g__Methanohalarchaeum)|tax(g__Methanonatronarchaeum)|tax(g__PZKD01)|tax(g__JdFR-19)|tax(g__Methermicoccus)|tax(g__CAXXJW01)|tax(g__JAFGQV01)|tax(g__JAIOTO01)|tax(g__JAQVBP01)|tax(g__Methanimicrococcus)|tax(g__Methanococcoides)|tax(g__Methanofrustulum)|tax(g__Methanohalobium)|tax(g__Methanohalophilus)|tax(g__Methanolapillus)|tax(g__Methanolobus)|tax(g__Methanomethylovorans)|tax(g__Methanosalsum)|tax(g__Methanosarcina)|tax(g__Methanovorans)|tax(g__MTP4)|tax(g__CAWBKV01)|tax(g__CAWJYS01)|tax(g__CAYWZG01)|tax(g__CAZXDN01)|tax(g__DATMZB01)|tax(g__Fen-7)|tax(g__JAAEEW01)|tax(g__JABLXE01)|tax(g__JAFGMR01)|tax(g__JALHSR01)|tax(g__Methanocrinis)|tax(g__Methanothrix_B)|tax(g__Methanothrix)|tax(g__MVQI01)|tax(g__UBA114)|tax(g__UBA204)|tax(g__Methanopyrus)|tax(g__B48-G16)|tax(g__JAYEIH01)|tax(g__Methanofastidiosum)|tax(g__JAFGGT01)|tax(g__JAHKLV01)|tax(g__NM3)|tax(g__JBHIDS01)|tax(g__SZ-28-30)|tax(g__Methanothermus)|tax(g__Methanothermobacter_A)|tax(g__CADBMS01)|tax(g__CAZLGO01)|tax(g__JAHKLT01)|tax(g__JAUXXK01)|tax(g__JBOFHT01)|tax(g__Methanacia)|tax(g__Methanarmilla)|tax(g__Methanobacterium_A)|tax(g__Methanobacterium_B)|tax(g__Methanobacterium_C)|tax(g__Methanobacterium_D)|tax(g__Methanobacterium_E)|tax(g__Methanobacterium_F)|tax(g__Methanobacterium)|tax(g__Methanobaculum)|tax(g__Methanobinarius)|tax(g__Methanobrevibacter_A)|tax(g__Methanobrevibacter)|tax(g__Methanocatella)|tax(g__Methanoflexus)|tax(g__Methanorudis),tax(g__Methanosphaera)|tax(g__Methanovirga)|tax(g__UBA117)|tax(g__UBA349)|tax(g__UBA587)|tax(g__VGTM01)|tax(g__Methanothermobacter)|tax(g__CAZOLG01)|tax(g__JAAEEP01)|tax(g__JBKHFJ01)|tax(g__DYTM01)|tax(g__JACIVX01)|tax(g__JAJRAG01)|tax(g__JAUVWO01)|tax(g__CAVSDP01)|tax(g__CAVUGW01)|tax(g__DTU008)|tax(g__Methanomassiliicoccus_A)|tax(g__Methanomassiliicoccus)|tax(g__UBA6)|tax(g__CAYMPW01)|tax(g__CAYXFQ01)|tax(g__CAZXIY01)|tax(g__JAAYNL01)|tax(g__JAAYZC01)|tax(g__JALNYB01)|tax(g__JAQUUA01)|tax(g__JBAZDV01)|tax(g__Methanarcanum)|tax(g__Methanogranum)|tax(g__Methanomethylophilus)|tax(g__Methanomicula)|tax(g__Methanoplasma)|tax(g__Methanoprimaticola)|tax(g__PWHV01)|tax(g__RumEn-M2)|tax(g__SIG5)|tax(g__UBA9915)|tax(g__VadinCA11)|tax(g__CAZCNG01)|tax(g__DASXVU01)|tax(g__FEN-33)|tax(g__JACXTP01)|tax(g__JAJRAL01)|tax(g__JAJRAN01)|tax(g__MVRC01)|tax(g__UBA472)|tax(g__JAGHCH01)|tax(g__CAZQQB01)|tax(g__JACTUC01)|tax(g__JANXER01)|tax(g__JAULTD01)|tax(g__JBMFMY01)|tax(g__Methanomethylicus)|tax(g__Methanosuratincola)|tax(g__VGLU01)|tax(g__WYZ-LMO10)|tax(g__WYZ-LMO11)]	Redox Ladder	Methanogen or ANME	A genome that encodes a bonafide McrA is either a methanogen or an anaerobic methanotroph (ANME), but better resolution cannot be determined without taxonomy
Carbon Dioxide Reduction	CarbonDioxideReduction	K00927,EC:2.7.2.3,K05298,EC:1.2.1.13,K00150,EC:1.2.1.59,K00134,EC:1.2.1.12,K01623,EC:4.1.2.13,K01624,EC:4.1.2.13,K03841,EC:3.1.3.11,K02446,EC:3.1.3.11,K11532,EC:3.1.3.11,K01086,EC:3.1.3.11,K04041,EC:3.1.3.11,K00615,EC:2.2.1.1, K01100,EC:3.1.3.37,K01807,EC:5.3.1.6,K01808,EC:5.3.1.6,K00855,EC:2.7.1.19, K01601,EC:4.1.1.39 , K01602,EC:4.1.1.39,K00174,EC:1.2.7.3,K00175,EC:1.2.7.3,K00177,EC:1.2.7.3,K00176,EC:1.2.7.3,K00169,EC:1.2.7.1,K00170,EC:1.2.7.1,K00171,EC:1.2.7.1,K00172,EC:1.2.7.1,K03737,EC:1.2.7.1,K01007,EC:2.7.9.2,K01006,EC:2.7.9.1,K01595,EC:4.1.1.31,K01959,EC:6.4.1.1,K01960,EC:6.4.1.1,K01958,EC:6.4.1.1,K00024,EC:1.1.1.37,K01676,EC:4.2.1.2,K01679,EC:4.2.1.2,K01677,EC:4.2.1.2,K01678,EC:4.2.1.2,K00239,EC:1.3.5.1,EC:1.3.5.4,K00240,EC:1.3.5.1,EC:1.3.5.4,K00241,EC:1.3.5.1,EC:1.3.5.4,K00242,EC:1.3.5.1,EC:1.3.5.4,K00244,EC:1.3.5.1,EC:1.3.5.4,K00245,EC:1.3.5.1,EC:1.3.5.4,K00246,EC:1.3.5.1,EC:1.3.5.4,K00247,EC:1.3.5.1,EC:1.3.5.4,K18556,EC:1.3.1.6,K18557,EC:1.3.1.6,K18558,EC:1.3.1.6,K18559,EC:1.3.1.6,K18560,EC:1.3.1.6,K01902,EC:6.2.1.5,K01903,EC:6.2.1.5,K00031,EC:1.1.1.42,K01681,EC:4.2.1.3,K01682,EC:4.2.1.3,K15230,EC:2.3.3.8,K15231,EC:2.3.3.8,K15232,EC:6.2.1.18,K15233,EC:6.2.1.18,K15234,EC:4.1.3.34,K01964,EC:6.4.1.2,EC:6.4.1.3,K15037,K15036,EC:6.4.1.2,EC:6.4.1.3,K15017,EC:1.2.1.75,K15039,EC:1.1.1.298,K15018,EC:6.2.1.36,K15019,EC:4.2.1.116,K15020,EC:1.3.1.84,K05606,EC:5.1.99.1,K01848,EC:5.4.99.2,K01849,EC:5.4.99.2,K15038,EC:1.2.1.76,K14465,EC:1.1.1.,K14466,EC:6.2.1.40,K18861,EC:6.2.1.40,K14534,EC:4.2.1.120,EC:5.3.3.3,K15016,EC:4.2.1.17,EC:1.1.1.35,K00626,EC:2.3.1.9,K00169,EC:1.2.7.1,K00170,EC:1.2.7.1,K00171,EC:1.2.7.1,K00172,EC:1.2.7.1,K01007,EC:2.7.9.2,K01595,EC:4.1.1.31,K00024,EC:1.1.1.37,K01676,EC:4.2.1.2,K01677,EC:4.2.1.2,K01678,EC:4.2.1.2,K00239,EC:1.3.5.1,EC:1.3.5.4,K00240,EC:1.3.5.1,EC:1.3.5.4,K00241,EC:1.3.5.1,EC:1.3.5.4,K18860,EC:1.3.5.1,EC:1.3.5.4,K01902,EC:6.2.1.5,K01903,EC:6.2.1.5,K15038,EC:1.2.1.76,K15017,EC:1.2.1.76,K14465,EC:1.1.1.-,K14467,EC:6.2.1.40,K18861,EC:6.2.1.40,K14534,EC:4.2.1.120,K15016,EC:4.2.1.17,EC:1.1.1.35,K00626,EC:2.3.1.9,K14449,EC:4.2.1.148,K14470,EC:5.4.1.3,K09709,EC:4.2.1.153,K08691,EC:4.1.3.24,EC:4.1.3.25,K01491,EC:1.5.1.5,K01491,EC:3.5.4.9, K01938,EC:6.3.4.3,K05299,EC:1.17.1.10, K15022,EC:1.17.1.10, K22015,EC:1.17.98.4, K00198,EC:1.2.7.4, K07321, K14138,EC:2.3.1.169, K00197,EC:2.1.1.245, K00194,EC:2.1.1.245, K15023,EC:2.1.1.258,K01938,K01491 ,K00122,K00123,K00126,K00127,K22515,K05299 ,K15022,K22338,K22339,K22340,K22341,K08348 , K08349 , K08350,K00281,K00282, K00283,K00605,K00382,K10670,K10671,K10672,K21576,K21577,K03671,K00384,K00625 ,K13788 , K04020 ,K15024,K00925,K00600 , K01752	CalvinCycle|ReductiveCitricAcidCycle|Hydroxypropionate-HydroxybutyrateCycle|DicarboxylateHydroxybutyrateCycle|3-HydroxypropionateCycle|Wood-LungdahlPathway|ReductiveGlycinePathway	Greenhouse Gases	Carbon Dioxide Reduction	For a genome to be classified as having potential to reduce or consume carbon dioxide, it must encode any of the canonical carbon fixation pathways
Carbon Monoxide Oxidation	CarbonMonoxideOxidation	K03520,K03519,K03518,K00198,K14138,K00193,EC:2.3.1.169	[K03520&K03519&K03518] | [K00198 & not(K14138|K00193|EC:2.3.1.169)]	Greenhouse Gases	Carbon Monoxide Oxidation	For a few genome to encode potential to oxidize carbon monoxide, it must encode either the aerobic or anaerobic carbon monoxide dehydrogenase and it anaerobic, NOT be an acetogen/use the Wood Ljungdahl pathway
Hydrogenotrophic	Hydrogenotrophic	K00200,K00201,K00202,K00203,K00204,K00205,EC:1.2.7.12, K00672,EC:2.3.1.101, K01499,EC:3.5.4.27, K00319,K13942,EC:1.5.98.1,EC:1.12.98.2, K00320,EC:1.5.98.2, K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584, K00440,K00441,K00442,K00443, K14126,K14127,K14128 , K14092,K14093,K14094,K14095,K14096,K14097,K14098,K14099,K14100,K14101,K14102,K14103,K14104,K14105,K14106,K14107,K14108,K14109 , K14110,K14111,K14112,K14113,K14114,K14115,K14116,K14117,K14118,K14119,K14120,K14121,K14122,K14123,K14124,K14125,K00123,K00124 ,K05299,K15022 ,K22015 	[HMM@McrA | K00399] & at_least(4, PRESENCE, [ [K00200|K00201|K00202|K00203|K00204|K00205|EC:1.2.7.12], [K00672|EC:2.3.1.101], [K01499|EC:3.5.4.27], [K00319|K13942|EC:1.5.98.1|EC:1.12.98.2], [K00320|EC:1.5.98.2] ]) & at_least(2, PRESENCE, [K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584]) &[ at_least(2, PRESENCE, [K00440,K00441,K00442,K00443]) |at_least(2, PRESENCE, [K14126,K14127,K14128]) |at_least(4, PRESENCE, [K14092,K14093,K14094,K14095,K14096,K14097,K14098,K14099,K14100,K14101,K14102,K14103,K14104,K14105,K14106,K14107,K14108,K14109]) | at_least(4, PRESENCE, [K14110,K14111,K14112,K14113,K14114,K14115,K14116,K14117,K14118,K14119,K14120,K14121,K14122,K14123,K14124,K14125]) |[K00123&K00124] |[K05299&K15022] |K22015 ]	Greenhouse Gases	Methane Production	For a genome to have hydrogneotrophic methanogenesis potential, it must encode mcrA, at least 4 genes of the methyl branch of the Wood-lungdahl pathway,  part of the MTR complex, and at least one gene for any known hydrgenotrophic hdyrogenase.
Acetoclastic	Acetoclastic	K00399, K00401, K00402, K03421, K03422, K00193, K00194, K00197, K00198, K00925,  K00625, K01895	[HMM@McrA | K00399] & at_least(1, PRESENCE, [K00193,K00194,K00197,K00198])&[[K00925&K00625]|K01895] & [tax(g__Methanosarcina)|tax(f__Methanotrichaceae)]	Greenhouse Gases	Methane Production	For a genome to have acetoclastic methanogenesis potential, it must encode mcrA, part of the ACS_CODH complex, and either Acetate Kinase and Phosphotransacetylase OR Acetyl CoA Synthetase. There is a MANDATORY taxonomic requirement for this rule to run, and a MAG or genome must also belong to the genus Methanosarcina or the family Methanotrichaceae
Methylotrophic	Methylotrophic	K00399, K00401, K00402, K03421, K03422, K04480,  K14083,  K16176,  K16178,  K25220,   K16954,  K25600,  K25916,  K26847	[HMM@McrA | K00399] & at_least(1, PRESENCE, [K04480,K14083,K16176,K16178,K25220,K16954,K25600,K25916,K26847])	Greenhouse Gases	Methane Production	For a genome to have methyltotrophic methanogenesis potential, it must encode mcrA and at least one substrate-demethylating corrinoid-dependent methyltransferase homolog "MtxB"
Aerobic Methanotroph	AerobicMethanotroph	K16157, K16158, K16159, K16160, K16161, K16162, K10944, K10945, K10946	HMM@pmoa_actinobacteria_chloroflexota|HMM@pmoa_alpha_1|HMM@pmoa_alpha_2|HMM@pmoa_crenothrix|HMM@pmoa_gamma|HMM@pmoa_methyl_eth|HMM@pmoa_methylomirabilis|HMM@pmoa_verr | K16157 | K16158 | K16159 | K16160 | K16161 | K16162	Greenhouse Gases	Methane Oxidation	For a genome to have CH₄ oxidation capability, it must encode at least one methane monooxygenase complex pMMO or sMMO, which catalyzes the conversion of methane to methanol — the key diagnostic step of methanotrophy in soils.
Denitrifying Methanotroph	DenitrifyingMethanotroph	K16157, K16158, K16159, K16160, K16161, K16162, K10944, K10945, K10946, K00370 ,  K02567 , K00368 , K15864 , K04561	[HMM@pmoa_actinobacteria_chloroflexota|HMM@pmoa_alpha_1|HMM@pmoa_alpha_2|HMM@pmoa_crenothrix|HMM@pmoa_gamma|HMM@pmoa_methyl_eth|HMM@pmoa_methylomirabilis|HMM@pmoa_verr | K16157 | K16158 | K16159 | K16160 | K16161 | K16162]&[HMM@NarG|K02567|K00368|K15864|K04561]	Greenhouse Gases	Methane Oxidation	For a genome to have CH₄ oxidation capability, it must encode at least one methane monooxygenase complex pMMO or sMMO, which catalyzes the conversion of methane to methanol — the key diagnostic step of methanotrophy in soils. It must also encode any genes for denitrifcation narG, napA, nirK, nirS, norB
ANME	ANME	K00399, K00401, K00402, K03421, K03422	[HMM@McrA | K00399] & [tax(g__Methanocomedens_A)|tax(g__Methanocomedens_B)|tax(g__Methanogaster_A)|tax(g__Methanogaster_B)|tax(g__Methanoperedens_A)|tax(g__Methanoperedens)|tax(g__ANME-1-THS)|tax(g__ANME1a)|tax(g__G60ANME1)|tax(g__Methanophaga)|tax(g__Methanovorans)|tax(g__Methanomarinus)|tax(g__Methanoxibalbensis)|tax(g__Methanospirare)|tax(g__Kmv04)|tax(g__Methanogaster_C)|tax(g__Methanogaster_D)|tax(g__CAZCRM01)|tax(g__UBA10536)|tax(g__Methanoxibalbensis)]	Greenhouse Gases	Methane Oxidation	For a genome to be classified as "ANME" an anaerobic methanotroph, it must encode McrA. There is also a MANDATORY taxanomic filter for this rule to run, the MAG/genome must belong to one of the following genera: g__Methanocomedens_A , g__Methanocomedens_B ,g__Methanogaster_A , g__Methanogaster_B , g__Methanoperedens_A ,g__Methanoperedens , g__ANME-1-THS , g__ANME1a , g__G60ANME1 ,g__Methanophaga , g__Methanovorans , g__ Methanomarinus ,g__Methanoxibalbensis , g__Methanospirare
Nitrous Oxide Production	NitrousOxideProduction	K02305, K04561	K04561|K15877	Greenhouse Gases	Nitrous Oxide Production	Genome encodes nitric-oxide reductase to catalyze nitric oxide reduction
Nitrous Oxide Reduction	NitrousOxideReduction	K00376	K00376	Greenhouse Gases	Nitrous Oxide Reduction	Genome encodes nitrous-oxide reductase to catalyze nitrous oxide reduction
Osmoregulation	Osmoregulation	K07646 ,K01545 ,K01546 ,K01547 ,K01548 ,K03315 , K07084 ,K05565 ,K05566 , K05567 ,K05568 , K05569 , K05570 , K05571 ,K05559 , K05560 , K05561 , K05562 K05563 , K05564 ,K03499 ,K03498 ,K02168 ,K03451 ,K05245 ,K11440   , K00130  ,K03762 ,K03607 , K05020 , K18896 , K18897  , K06720  , K10674 , K00836 , K06718 , K10230 , K05947 , K00009 , K06044 , K01236 , K05342 , K05343 , K00697 ,K01087 , K07667 , K00108 , K02000 , K02001 , K02002 , K10036 , K10037  ,K10038 , K05845 , K05846 , K05847 ,K02028 ,K02029 ,K02030 ,K10227 ,K10228 ,K10229 ,K02783 ,K02781 ,K02782 , K02798 ,K10109 ,K10110 ,K10111 , K07638 ,K07659 ,K09475 ,K09476  , K17755 ,  K00449   ,K01194  ,K03692  ,K04062   ,K04063  ,K04064   ,K04065	K07646|K01545|K01546|K01547|K01548|K03315|K07084|K05565|K05566|K05567|K05568|K05569|K05570|K05571|K05559|K05560|K05561|K05562K05563|K05564|K03499|K03498|K02168|K03451|K05245|K11440|K00130|K03762|K03607|K05020|K18896|K18897|K06720|K10674|K00836|K06718|K10230|K05947|K00009|K06044|K01236|K05342|K05343|K00697|K01087|K07667|K00108|K02000|K02001|K02002|K10036|K10037|K10038|K05845|K05846|K05847|K02028|K02029|K02030|K10227|K10228|K10229|K02783|K02781|K02782|K02798|K10109|K10110|K10111|K07638|K07659|K09475|K09476|K17755|K00449|K01194|K03692|K04062|K04063|K04064|K04065	Environmental Adaptation	Osmoregulation	For a genome to have capacity to defend against osmotic stress, it must have at least one gene related transport of synthesis of canonical compatible solutes (e.g. glycine betaine, choline, proline, trehalose, ectoine, mannitol, sucrose)
Oxidative Stress	OxidativeStress	K04564  , K04565 , K04569 , K03781 , K03782 , K24119 , K03387 , K04761 , K13639   , K13631  , K00383 , K01919  , K03671 , K00384 , K03672  , K10563 , K03575 , K03553 , K04047 , K03594 , K02217 , K03674  , K03675 , K03676 , K07304   , K07305 , K04063  , K11065  , K03564    , K00036 , K00033 , K00324 , K00325 , K19824   , K04487 , K05997  , K09014   , K09013 , K09015  , K11717       , K02426  , K03087 , K03711   , K13643 , K01338 , K04043 , K05919  , K01759  , K00799  , K01069   , K10773  , K10567   , K03574 , K01151  , K03584 , K01142 , K09825  , K23775  , K04084  , K01920	K04564|K04565|K04569|K03781|K03782|K24119|K03387|K04761|K13639|K13631|K00383|K01919|K03671|K00384|K03672|K10563|K03575|K03553|K04047|K03594|K02217|K03674|K03675|K03676|K07304|K07305|K04063|K11065|K03564|K00036|K00033|K00324|K00325|K19824|K04487|K05997|K09014|K09013|K09015|K11717|K02426|K03087|K03711|K13643|K01338|K04043|K05919|K01759|K00799|K01069|K10773|K10567|K03574|K01151|K03584|K01142|K09825|K23775|K04084|K01920	Environmental Adaptation	Oxidative Stress	Presence of oxidative stress response genes indicates microbial potential to detoxify reactive oxygen species through catalase–peroxidase, superoxide dismutase, glutathione biosynthesis,  NADH peroxidase, or related genes/proteins, supporting survival under oxidative stress in agricultural soils.
