name	alias	rule	module	group	notes	gene_ids
Non-Sugar Compatible Solutes	Non-SugarCompatibleSolutes	[K00931 & K00147 & K00286] | K00006 | K00111	Colonization & Persistence	Stress tolerance	Presence of non-sugar compatible solute biosynthesis genes indicates microbial potential to produce osmoprotectants such as proline or glycerol, supporting cellular water balance under osmotic stress. Relevant to gut microbes navigating the shifting osmotic conditions of the intestinal lumen, including those imposed by host fluid absorption and high-solute diet.	K00147, K00931, K00286, K00006, K00111
Heat Shock Response	HeatShockResponse	K04043 | K03686 | K04079 | K03705 | K13640 | K03053 | K03048 | K01419 | K04080 | K04081 | K03695 | K03687	Colonization & Persistence	Stress tolerance	Heat shock chaperones and proteases. DnaK (K04043) and DnaJ (K04079) form the core chaperone system; GroEL/GroES (K04080, K04081) provide folding assistance; GrpE (K03686) is the nucleotide exchange factor; ClpB (K03695) disaggregates protein aggregates; ClpXP (K03687) and HslUV are ATP-dependent proteases for misfolded proteins. In the gut, heat shock response is relevant during febrile illness, host inflammatory responses, and thermal shifts encountered during transit from the external environment to the intestinal lumen.	K04043, K03686, K04079, K03705, K13640, K03053, K03048, K01419, K04080, K04081, K03695, K03687
Cold Shock Response	ColdShockResponse	K10257 | K03704 | K02834 | K05592	Colonization & Persistence	Stress tolerance	Cold shock response via cold shock proteins (CspA family; K10257) acting as RNA chaperones, RecA (K03704) for SOS response, trigger factor (K02834) as ribosome-associated chaperone, and CsdA/DeaD (K05592) cold-inducible DEAD-box RNA helicase. In the gut context, cold shock proteins aid recovery after environmental stress during host ingestion of cold food or drink, and stabilize mRNA secondary structures that form at lower temperatures encountered outside the host.	K10257, K03704, K02834, K05592
Methyl-Related Compatible Solutes Biosynthesis	Methyl-RelatedCompatibleSolutesBiosynthesis	[[K00108 | K11440] & K00130] | [K18896 & K18897]	Colonization & Persistence	Stress tolerance	Presence of methyl-related compatible solute biosynthesis genes indicates microbial potential to produce glycine betaine or related osmoprotectants that help maintain cellular water balance under osmotic stress. In the gut, glycine betaine also serves as a substrate for TMA production (via betaine reductase pathways) and as a methyl donor, connecting osmoprotection to host metabolite production and one-carbon metabolism.	K00108, K00130, K11440, K18896, K18897
Exopolysaccharide [EPS]	Exopolysaccharide[EPS]	K02851 | K02852 | K03208 | K03606 | K03818 | K03819 | K11936 | K11937 | K12582 | K13683 | K13684 | K16555 | K16556 | K16557 | K16558 | K16560 | K16562 | K16563 | K16564 | K16566 | K16568 | K16703 | K16707 | K16710 | K19290 | K19291 | K19293 | K19294 | K19295 | K19296 | K20921 | K20922 | K20997 | K20999 | K21001 | K21002 | K21154 | K21461 | K25205 | K25875 | K25886 | K25902 | K25903 | K25904 | K25905 | K25906 | K25907 | K25908 | K25909 | K25910 | K25911 | K25912 | K25913	Colonization & Persistence	EPS Production	Presence of any listed exopolysaccharide or capsular polysaccharide biosynthesis gene (for example colanic‑acid, PNAG/poly‑GlcNAc, alginate, Psl, or Pss‑like systems) indicates microbial potential for EPS production in human gut and rumen environments, supporting colonization, persistence, and surface or matrix‑associated growth.	K02851, K02852, K03208, K03606, K03818, K03819, K11936, K11937, K12582, K13683, K13684, K16555, K16556, K16557, K16558, K16560, K16562, K16563, K16564, K16566, K16568, K16703, K16707, K16710, K19290, K19291, K19293, K19294, K19295, K19296, K20921, K20922, K20997, K20999, K21001, K21002, K21154, K21461, K25205, K25875, K25886, K25902, K25903, K25904, K25905, K25906, K25907, K25908, K25909, K25910, K25911, K25912, K25913
Biofilms	Biofilms	[K19290 | K19291 | K19293 | K19294 | K19295 | K19296 | K11936 | K11937 | K21001 | K20997 | K25205 | K21461]	Colonization & Persistence	Biofilms	Biofilm matrix genes subset drawn from the EPS gene pool: colanic acid (K19290/K19291/K19293–K19296), PNAG/poly-GlcNAc biosynthesis (K11936/K11937/K21001), and PGA export/regulation (K20997/K25205/K21461). Presence of any listed gene indicates matrix-associated growth potential. FLAG: rule is intentionally broad pending KA finalization — flagged for review before final release.	K19290, K19291, K19293, K19294, K19295, K19296, K11936, K11937, K21001, K20997, K25205, K21461
Quorum Sensing	QuorumSensing	[[K13060 | K13061] & [K18304 | K18099]] | K07173 | at_least(2, PRESENCE, [K10555, K10556, K10557, K10558])	Colonization & Persistence	Quorum Sensing	Quorum sensing via three systems: (1) AHL/LuxI-LuxR: LuxI-type AHL synthases lasI (K13060) or rhlI/cepI/tofI homologs (K13061) paired with LuxR-type receptors lasR (K18304) or rhlR homologs (K18099) — both synthase and receptor required; (2) AI-2/LuxS system: LuxS S-ribosylhomocysteine lyase (K07173) — widely conserved but interpret alone cautiously as it has metabolic roles beyond QS; (3) AI-2 import via Lsr ABC transporter: LsrB substrate-binding (K10555), LsrC permease (K10556), LsrD permease (K10557), LsrA ATPase (K10558) — at least 2 subunits required — indicates active AI-2 uptake and response capacity.	K13060, K13061, K18304, K18099, K07173, K10555, K10556, K10557, K10558
Motility	Motility	[K02410 | K02411] & at_least(3, PRESENCE, [K02406, K02407, K02400, K02408, K02409, K02412, K02416, K02417, K02386, K02387, K02391, K02393, K02404, K02405])	Colonization & Persistence	Motility	Flagellar motor (MotA K02410 or MotB K02411; at least one required) plus at least 3 structural/assembly genes from the flagellar complex. Required for surface approach and early biofilm attachment. Also relevant for chemotaxis toward carbon/electron donor sources in engineered systems.	K02410, K02411, K02406, K02407, K02400, K02408, K02409, K02412, K02416, K02417, K02386, K02387, K02391, K02393, K02404, K02405
Bile acid deconjugation	Bileaciddeconjugation	K01442	Host Interaction	Bile acid metabolism	Presence of choloylglycine hydrolase (K01442), the canonical bile salt hydrolase (BSH), indicates capacity to deconjugate glycine- and taurine-conjugated bile acids to free bile acids and amino acids	K01442
Secondary bile acid synthesis	Secondarybileacidsynthesis	K15868 & K15869 & K15872	Host Interaction	Bile acid metabolism	Co-occurrence of bile acid–CoA ligase (baiB, K15868), 3α-hydroxy bile acid–CoA 3-dehydrogenase (baiA, K15869), and bile-acid 7α-dehydratase (baiE, K15872) marks a bai-type 7α-dehydroxylation pathway. Genomes satisfying this rule are high-confidence secondary bile acid producers capable of converting primary bile acids (e.g., cholic acid, chenodeoxycholic acid) into secondary bile acids (e.g., deoxycholic acid, lithocholic acid) in the human gut	K15868, K15869, K15872
Bile acid redox	Bileacidredox	[K00076 | K22604 | K22605 | K22606 | K22607 | K23231]	Host Interaction	Bile acid metabolism	Presence of at least one bile acid–active hydroxysteroid dehydrogenase indicates capacity to oxidize and epimerize bile acids at the 3 or 7 positions via oxo intermediates. These enzymes are essential for forming iso‑ and urso‑bile acids and for completing epi‑bile acid pathways in the human gut	K00076, K22604, K22605, K22606, K22607, K23231
Menaquinone (K2)	Menaquinone(K2)	K02552 & K02551 & K02549 & K01661 & K01911 & K02548	Host Interaction	Vitamin biosynthesis	Co-occurrence of menF (K02552), menD (K02551), menC (K02549), menB (K01661), menE (K01911), and menA (K02548) represents the full classical menaquinone biosynthesis pathway from chorismate to polyprenylated menaquinone	K02552, K02551, K02549, K01661, K01911, K02548
Folate	Folate	K00796 & K00287	Host Interaction	Vitamin biosynthesis	Co-occurrence of dihydropteroate synthase (K00796) and dihydrofolate reductase (K00287) marks the minimal two-step folate synthesis/recycling module from p-aminobenzoate to tetrahydrofolate. Folate-prototrophic gut microbes (Lactobacillus reuteri, Bifidobacterium spp.) supply folate to the host and folate-auxotrophic microbiome members, supporting one-carbon metabolism and nucleotide synthesis.	K00796, K00287
Thiamine	Thiamine	K03147 & K00788	Host Interaction	Vitamin biosynthesis	Co-occurrence of thiamine-phosphate pyrophosphorylase (K03147/ThiE) and hydroxyethylthiazole kinase (K00788/ThiM) marks the minimal thiamine biosynthesis completion module. Thiamine-producing gut microbes contribute to host B1 supply and support TPP-dependent metabolic pathways in the microbiome. Full de novo synthesis requires additional ThiC/ThiG upstream enzymes not captured here; this rule flags thiamine phosphate assembly capacity.	K03147, K00788
Biotin (B7)	Biotin(B7)	K01012	Host Interaction	Vitamin biosynthesis	Biotin synthase (K01012/BioB) catalyzes the final step of biotin biosynthesis, inserting a sulfur atom into dethiobiotin to form biotin (vitamin B7). Presence alone indicates biotin biosynthesis completion capacity. Biotin-prototrophic gut microbes (Fusobacterium nucleatum, some Bacteroides) contribute to colonic biotin supply; biotin is essential for carboxylase enzymes including pyruvate carboxylase and acetyl-CoA carboxylase.	K01012
Niacin (B3)	Niacin(B3)	K03517 & K00278 & K00767	Host Interaction	Vitamin biosynthesis	Co-occurrence of aspartate oxidase (K03517/NadB), quinolinate synthase (K00278/NadA), and nicotinate-nucleotide pyrophosphorylase (K00767/NadC) marks the de novo NAD biosynthesis route from aspartate through quinolinate. Niacin/B3-prototrophic gut microbes produce nicotinamide and support luminal NAD+ precursor availability, relevant for host intestinal epithelial function and microbiome-host signaling via extracellular NAD+ metabolites.	K03517, K00278, K00767
Cobalamin (B12)	Cobalamin(B12)	[K00798 | K19221] & K02232 & [K02225 | K02227] & K02231 & K00768 & [K02226 | K22316] & K02233	Host Interaction	Vitamin biosynthesis	Presence of all core corrinoid loop assembly genes in KEGG module M00122 (cobyrinate a,c-diamide → cobalamin), with allowed alternatives at specific steps, indicates capacity for de novo completion of cobalamin (vitamin B12) biosynthesis. This marks high-confidence B12 producers in gut and rumen microbiomes, which can support cobalamin-dependent pathways in both microbes and the host.	K00798, K19221, K02232, K02225, K02227, K02231, K00768, K02226, K22316, K02233
Pantothenate (B5)	Pantothenate(B5)	[K00826 & K00606 & K00077 & K01579 & [K01918 | K13799]] | [K00606 & K00077 & K13367 & K00128 & K01918]	Host Interaction	Vitamin biosynthesis	Presence of all core pantothenate biosynthesis genes from either the valine/aspartate route (M00119) or the 2‑oxoisovalerate/spermine route (M00913) indicates de novo vitamin B5 production capacity.	K00826, K00606, K00077, K01579, K01918, K13799, K13367, K00128
Pyridoxine (B6)	Pyridoxine(B6)	K03472 & K03473 & K00831 & K00097 & K03474 & K00275	Host Interaction	Vitamin biosynthesis	Presence of all core genes in KEGG module M00124 (erythrose-4P → pyridoxal 5'-phosphate) indicates capacity for de novo vitamin B6 biosynthesis as PLP. In gut and rumen microbiomes, such B6 prototrophy is less prevalent than other B-vitamin pathways but supports amino acid metabolism and can provide B6 to auxotrophic microbes and the host	K03472, K03473, K00831, K00097, K03474, K00275
Riboflavin (B2)	Riboflavin(B2)	[[K01497 | K14652] & [[K01498 & K00082] | K11752] & [K22912 | K20860 | K20861 | K20862 | K21063 | K21064] & [K02858 | K14652] & K00794 & K00793 & [[K20884 & K22949] | K11753]]	Host Interaction	Vitamin biosynthesis	Presence of all core genes in KEGG module M00125 (riboflavin biosynthesis, GTP → riboflavin/FM N/FAD) with allowed enzyme alternatives indicates capacity for de novo vitamin B2 biosynthesis. In gut and rumen microbiomes, such riboflavin prototrophy is an important microbial trait that supplies B2 for FMN/FAD cofactor production and can contribute to host vitamin status	K01497, K14652, K01498, K00082, K11752, K22912, K20860, K20861, K20862, K21063, K21064, K02858, K00794, K00793, K20884, K22949, K11753
TMA production	TMAproduction	[K20038 & K20037] | K22443 | K21579	Host Interaction	TMA production	TMA production via three routes: (1) choline TMA-lyase complex cutC/cutD (K20038/K20037) — primary choline-to-TMA route; (2) carnitine oxygenase cntA (K22443) — L-carnitine cleavage; (3) glycine reductase grdH (K21579) — glycine betaine reduction. TMA is the gut microbial precursor of host-produced TMAO, a circulating metabolite associated with cardiovascular disease risk. All three routes are diet-substrate-dependent.	K20038, K20037, K22443, K21579
TMA demethylation	TMAdemethylation	K14083 | K25600 | EC:2.1.1.389 	Host Interaction	TMA demethylation	TMA demethylation via pyrrolysine-containing methyltransferases: MttB-type trimethylamine methyltransferase (K14083), MtgB glycine betaine methyltransferase (K25600), or EC:2.1.1.389 (dimethylamine/trimethylamine corrinoid methyltransferase). Removes a methyl group from TMA, reducing circulating TMA and potentially TMAO levels. Found in Methanomassiliicoccales archaea and some anaerobic bacteria. NOTE: EC:2.1.1.389 is not yet a KEGG K-number — confirm DRAM2 can accept EC:identifiers in rule engine.	K14083, K25600, EC:2.1.1.389
Beta-Lactam Resistance	Beta-LactamResistance	K18698 | K18699 | K18796 | K18767 | K18797 | K19097 | K19317 | K18768 | K18970 | K19316 | K22346 | K18795 | K19218 | K19217 | K18790 | K18791 | K19098 | K18792 | K19213 | K21276 | K18793 | K18971 | K22352 | K19209	Host Interaction	Antibiotic Resistance	Beta-lactamase and penicillin-binding protein resistance genes conferring resistance to beta-lactam antibiotics (penicillins, cephalosporins, carbapenems). Major antibiotic resistance gene class in environmental microbiomes.	K18698, K18699, K18796, K18767, K18795, K19218, K19217
Macrolide Resistance	MacrolideResistance	K00561 | K14336 | K15632 | K18230 | K18231 | K19349 | K19350 | K18232 | K19541 | K08217	Host Interaction	Antibiotic Resistance	Macrolide resistance via efflux pumps, ribosomal methylases (erm genes), or macrolide esterases.	K00561, K14336, K15632, K18230, K18231, K19349, K19350, K18232, K19541, K08217
Tetracycline Resistance	TetracyclineResistance	K08151 | K08168 | K18214 | K18215 | K18218 | K18216 | K18217 | K19542 | K18233 | K18220 | K18221	Host Interaction	Antibiotic Resistance	Tetracycline resistance via efflux pumps (tet efflux genes) or ribosomal protection proteins.	K08151, K08168, K18214, K18215, K18218, K18216, K18217, K19542, K18233, K18220, K18221
Sulfonamide Resistance	SulfonamideResistance	K18974 | K18824 | K18825	Host Interaction	Antibiotic Resistance	Sulfonamide resistance via dihydropteroate synthase variants (sul1, sul2, sul3) insensitive to sulfonamide inhibition. Sulfonamide resistance genes are among the most prevalent antibiotic resistance determinants in human gut microbiomes, particularly in individuals with prior antibiotic exposure, and are frequently found on mobile genetic elements that co-carry other resistance genes.	K18974, K18824, K18825
Aminoglycoside Resistance	AminoglycosideResistance	K03395 | K18815 | K18816 | K00984 | K19272 | K10673	Host Interaction	Antibiotic Resistance	Presence of aminoglycoside-modifying enzyme genes, including N-acetyltransferases (AAC(3), AAC(6′)), O-nucleotidyltransferases (aadA, ANT(3ʺ); K00984), and O-phosphotransferases (APH(3′), APH(3ʺ)), indicates resistance to aminoglycoside antibiotics via drug inactivation. Aminoglycoside resistance genes of these families are common in human and animal gut microbiomes and in the rumen, where they contribute substantially to the overall resistome	K03395, K18815, K18816, K00984, K19272, K10673
Glycopeptide Resistance	GlycopeptideResistance	[K18345 & K18344 & K07260 & K18346] & [K18351 & K18352 & K18354 & K18353] & [K18347 & K15739 & K08641]	Host Interaction	Antibiotic Resistance	Presence of all core genes in KEGG module M00651, encoding the D-Ala–D-Lac type vancomycin resistance cluster, indicates capacity to replace the D-Ala–D-Ala terminus of peptidoglycan precursors with D-Ala–D-Lac and thereby reduce vancomycin binding. This mechanism is characteristic of vancomycin-resistant enterococci and other glycopeptide-resistant Gram-positive bacteria and can occur in gut and rumen microbiomes as part of the glycopeptide resistome	K18345, K18344, K07260, K18346, K18351, K18352, K18354, K18353, K18347, K15739, K08641
Prodrug activation	Prodrugactivation	K01118	Host Interaction	Drug metabolism	Prodrug activation: azoreductase (K01118) reduces azo-bond prodrugs (sulfasalazine, balsalazide) to release active 5-aminosalicylic acid (5-ASA) in the colon. Primary enzymatic mechanism by which IBD prodrugs are activated by gut microbiota. Presence indicates capacity to convert prodrugs to their active forms, with implications for inter-individual variation in drug response.	K01118
Chemotherapy inactivation	Chemotherapyinactivation	K17722 & K17723	Host Interaction	Drug metabolism	Chemotherapy inactivation: co-occurrence of cytosine deaminase (K17722) and uracil phosphoribosyltransferase (K17723) encodes the 5-fluorouracil (5-FU) inactivation pathway. Gut microbes expressing these enzymes can degrade 5-FU to inactive catabolites, potentially reducing drug efficacy. Relevant to colorectal cancer chemotherapy outcomes where microbiome composition affects 5-FU bioavailability.	K17722, K17723
Nitro drug reduction	Nitrodrugreduction	K10678 | K10679	Host Interaction	Drug metabolism	Nitro drug reduction: nitroreductase type I (K10678) or type II (K10679) reduces nitro groups in prodrugs such as metronidazole, nitrofurantoin, and tinidazole. Reductive activation converts these prodrugs to toxic intermediates that damage DNA. Paradoxically, acquired resistance in Helicobacter pylori and Bacteroides involves loss or mutation of these reductases — flagging presence indicates susceptibility to nitro-drug activation.	K10678, K10679
Neurological drugs	Neurologicaldrugs	K22330	Host Interaction	Drug metabolism	Levodopa decarboxylase / aromatic amino acid decarboxylase (K22330/TyrDC) decarboxylates L-DOPA to dopamine in the gut lumen. Gut microbial DOPA decarboxylation reduces levodopa bioavailability and is a key mechanism underlying inter-individual variation in Parkinson's disease treatment efficacy. Inhibiting gut microbial K22330 activity is an active therapeutic target.	K22330
Isoflavonoid metabolism	Isoflavonoidmetabolism	K26069 | K26070 | K26071 | K26175	Host Interaction	Polyphenol metabolism	Captures anoxic isoflavonoid conversion pathway (daidzein/genistein → equol). Equol production is entirely microbiome-dependent and clinically relevant for estrogen-like activity	K26069, K26070, K26071, K26175
Flavonoid degradation	Flavonoiddegradation	K26176 | K26177 | K26178 | K22906 | K07155 | K06911 | K26179 | K26180 | K26181 | K26182 | K26183 | K26184 | K26185	Host Interaction	Polyphenol metabolism	Covers anoxic flavone/flavonol degradation to phloroglucinol (K26176-K26178, K22906), quercetin degradation oxic (K07155, K06911), and naringenin degradation oxic (K26179-K26185)	K26176, K26177, K26178, K22906, K07155, K06911, K26179, K26180, K26181, K26182, K26183, K26184, K26185
Tannin & phenolic acid metabolism	Tannin&phenolicacidmetabolism	K10759 | K22958 | K22959 | K22960 | K04099 | K12508 | K18383 | K22430 | K22431 | K22432	Host Interaction	Polyphenol metabolism	Covers tannin hydrolysis (K10759/tannase), gallate conversion to pyrogallol anoxic (K22958-K22960) and oxic (K04099), ferulic acid conversion to vanillin (K12508, K18383), and caffeate respiration anoxic (K22430-K22432)	K10759, K22958, K22959, K22960, K04099, K12508, K18383, K22430, K22431, K22432
Urease	Urease	K01428 & K01429 & K01430	Host Interaction	Urea	Urea hydrolysis requires the full urease enzyme complex composed of subunits ureC (K01428), ureB (K01429), and ureA (K01430). All three subunits are required for activity. In the gut, urease-positive organisms (Helicobacter pylori, Klebsiella pneumoniae, Proteus mirabilis) hydrolyze urea to ammonia and CO₂, raising local pH and supporting colonization of acidic niches. In the rumen, urease activity by diverse Firmicutes and Proteobacteria is central to urea nitrogen recycling and represents a major route by which dietary or salivary urea re-enters the microbial nitrogen pool	K01428, K01429, K01430
Iron acquisition	Ironacquisition	K19611 | K16090 | K16091 | K12545 | K16152 | K15721 | K16088 | K16089 | K16087 | K02014	Pathogenesis & Virulence	Iron acquisition	Siderophore receptors (K19611/fepA, K16090/fiu, K16091/fecA), heme acquisition (K12545/hasA, K16152/hasR), siderophore/yersiniabactin receptors (K15721/fyuA), and iron complex TonB-dependent receptors (K16088, K16089, K16087, K02014). Broad outer-membrane iron uptake capacity.	K19611, K16090, K16091, K12545, K16152, K15721, K16088, K16089, K16087, K02014
Hemolysins	Hemolysins	K11005 | K11032 | K11038	Pathogenesis & Virulence	Hemolysins	Pore-forming hemolysins: HlyA (K11005), HlyII (K11032), leukocidin/Hlg family (K11038), and HlyC-family protein (K06189). Note: K06189 and K11005/K11032/K11038 are also present in Toxins row — expected overlap between hemolysin and toxin categories.	K11005, K11032, K11038, K06189
Pilus and Fimbrial Adhesion	PilusandFimbrialAdhesion	K07345 | K07349 | K07350 | K07352 | K02650 | K12790 | K12689	Pathogenesis & Virulence	Adhesion/invasion	Surface attachment to gut epithelium via fimbrial and pilus systems.	K07345, K07349, K07350, K07352, K02650, K12790, K12689
Epithelial invasion	Epithelialinvasion	K13285 | K13287 | K12679 | K01387 | K21449 | K19231 | K19232 | K19233 | K07279 | K12678	Pathogenesis & Virulence	Adhesion/invasion	Active invasion of gut epithelial cells via multiple mechanisms.	K13285, K13287, K12679, K01387, K21449, K19231, K19232, K19233, K07279, K12678
Type III Secretion System	TypeIIISecretionSystem	[K03219 | K03222 | K03224 | K03225 | K03230 | K04057] | [K15344 | K15345 | K15346] | [K23648 | K23651 | K23652 | K23653 | K23654 | K23655 | K23656 | K23657 | K23658]	Pathogenesis & Virulence	Secretion systems	Type III secretion system capacity via structural components or secreted effectors	K03219, K03222, K03224, K03225, K03230, K04057, K15344, K15345, K15346, K23648, K23651, K23652, K23653, K23654, K23655, K23656, K23657, K23658
Type VI Secretion System	TypeVISecretionSystem	K11903 | K11904	Pathogenesis & Virulence	Secretion systems	Type VI secretion system capacity via Hcp tube proteins or VgrG spike proteins.	K11903, K11904
IgA Protease	IgAProtease	K01347	Pathogenesis & Virulence	Immune Evasion	IgA1 protease (K01347) cleaves human immunoglobulin IgA1 at the hinge region, inactivating mucosal antibody defense. Produced by Neisseria, Haemophilus, and Streptococcus pneumoniae as a major immune evasion strategy in mucosal pathogens. In the gut, IgA protease activity can disrupt the secretory IgA coat that normally excludes commensal and pathogenic bacteria from the epithelium.	K01347
Toxins	Toxins	K11014 | K26579 | K19297 | K19298 | K06189 | K11028 | K11005 | K11032 | K11038 | [K10928 & K10929] | K16883 | K16884 | K11006 | K11007	Pathogenesis & Virulence	Toxins	Covers genotoxins (CDT K11014, colibactin K26579), pore-forming/hemolysins (K06189, K11005, K11032, K11038), ER stress (subtilase K19297/K19298), vacuolating (VacA K11028), heat-labile enterotoxin complex (K10928+K10929), heat-stable enterotoxin (K16883/K16884), Shiga toxin (K11006/K11007)	K11014, K26579, K19297, K19298, K06189, K11028, K11005, K11032, K11038, K10928, K10929, K16883, K16884, K11006, K11007
	ReactionCore	K02703 | K02706 | K02689 | K02690 | K08928 | K08929 | K08940	Toxins	Toxins		
	PigmentBioSyn	at_least(2, PRESENCE, [K04036,K04037,K04038,K03403,K03404,K03405,K03406,K04035,K04040])	Toxins	Toxins		
	ETC60	percent60ComplexIA | percent60ComplexIB | percent60ComplexIC	Toxins	Toxins		
	ETC50	percent50ComplexIA | percent50ComplexIB | percent50ComplexIC	Toxins	Toxins		
	percent50ComplexIA	percent(50,ComplexIA)	Toxins	Toxins		
	percent50ComplexIB	percent(50,ComplexIB)	Toxins	Toxins		
	percent50ComplexIC	percent(50,ComplexIC)	Toxins	Toxins		
	percent60ComplexIA	percent(60,ComplexIA)	Toxins	Toxins		
	percent60ComplexIB	percent(60,ComplexIB)	Toxins	Toxins		
	percent60ComplexIC	percent(60,ComplexIC)	Toxins	Toxins		
	ComplexIA	K00330,[K00331 & K00332 & [K00333 | K00331] & [K13378 | K13380]],K00334,K00335,K00336,K00337,K00338,K00339,K00340,[[K00341 & K00342] | K15863],K00343	Toxins	Toxins		
	ComplexIB	K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585	Toxins	Toxins		
	ComplexIC	K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353	Toxins	Toxins		
	CytochromeCOxidase	K02275 | K02274 | K02276 | K15408 | K02277	Toxins	Toxins		
	CytochromeAa3600MenaquinolOxidase	K02827 | K02826 | K02828 | K02829	Toxins	Toxins		
	CytochromeOUbiquinolOxidase	AR	Toxins	Toxins		
	Cyc2	at_least(3, COUNTS, [Cyc2_repCluster1, Cyc2_repCluster2, Cyc2_repCluster3])	Toxins	Toxins		
	PioA	PlaceHolder	Toxins	Toxins		
	foxEYZ	FoxE & FoxY & FoxZ	Toxins	Toxins		
	mtoAB	MtoA & MtoB 	Toxins	Toxins		
	percent50CytochromeBDUbiquinolOxidase	percent(50,CytochromeBDUbiquinolOxidase)	Toxins	Toxins		
	percent50CytochromeCOxidaseCBB3	percent(50,CytochromeCOxidaseCBB3)	Toxins	Toxins		
	CytochromeBDUbiquinolOxidase	K00425,K00426,K00424 | K22501	Toxins	Toxins		
	CytochromeCOxidaseCBB3	K00404 | K00405 | K15862,K00407,K00406	Toxins	Toxins		
	NotNarNapNrf	not(NarNapNrf)	Toxins	Toxins		
	NarNapNrf	NarNitrateReductase | NapNitrateReductase | NRF	Toxins	Toxins		
	NapNitrateReductase	K00374 | K02567 | K02568 |  EC:1.9.6.1	Toxins	Toxins		 
	NarNitrateReductase	NarG	Toxins	Toxins		
